LocationID,LocationName,Latitude,Longitude,Date,Characteristic,Fraction,Value,Unit
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,"Temperature, water",,17.83,deg C
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,pH,,8.52,None
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,Dissolved oxygen (DO),,7,mg/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,Nitrogen,Dissolved,0.536,mg/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,"Chlorophyll a, corrected for pheophytin",Total,12.6,ug/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,"Chlorophyll a, corrected for pheophytin",Total,11.6,ug/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,"Chlorophyll a, corrected for pheophytin",Total,10.64,ug/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,pH,,8.308,None
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,Turbidity,Total,131,NTU
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,Nitrogen,Total,0.636,mg/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,Total dissolved solids,Total,1150,mg/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,Phosphate-phosphorus,Total,0.116,mg/l
4917600,UTAH LAKE GOSHEN BAY SOUTHWEST END,40.06023518,-111.8743836,05-10-2017,Phosphate-phosphorus,Dissolved,0.0168,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,05-10-2017,Turbidity,Total,38.3,NTU
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,05-10-2017,Phosphate-phosphorus,Dissolved,0.0193,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,05-10-2017,Total dissolved solids,Total,1170,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,05-10-2017,Phosphate-phosphorus,Total,0.053,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,05-10-2017,pH,,8.351,None
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,05-10-2017,Nitrogen,Total,0.802,mg/l
4917500,UTAH LAKE 3 MI WNW OF LINCOLN BEACH,40.16967582,-111.8716056,05-10-2017,"Chlorophyll a, corrected for pheophytin",Total,4.829,ug/l
